SNo,Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
6317,India,IND,1960,36535925031,NA,2.527486689,6.909799523,4.510044757,449480608
6318,India,IND,1961,38709096076,3.722742533,2.57033297,6.023940064,4.348798104,458494963
6319,India,IND,1962,41599070242,2.931127737,2.663692989,6.099005526,4.212773024,467852537
6320,India,IND,1963,47776000900,5.994353261,2.742169683,5.972632884,4.3254728,477527970
6321,India,IND,1964,55726873084,7.452950122,3.108393605,5.748325052,3.764690461,487484535
6322,India,IND,1965,58760424670,-2.63577011,3.402906395,5.269615112,3.342219889,497702365
6323,India,IND,1966,45253641303,-0.05532877,3.770483183,6.746005253,4.186070793,508161935
6324,India,IND,1967,49466168891,7.82596303,4.262991331,6.012859259,4.07682941,518889779
6325,India,IND,1968,52377324284,3.387929176,4.401001942,4.99803509,4.081200868,529967317
6326,India,IND,1969,57668330026,6.539700296,4.375294079,4.075835894,3.752859105,541505076
6327,India,IND,1970,61589800520,5.157229736,4.5980955,3.922153279,3.822566049,553578513
6328,India,IND,1971,66452561866,1.642930384,4.739714022,4.046985579,3.705731544,566224812
6329,India,IND,1972,70509913049,-0.553301312,5.045051018,3.750225267,4.069800602,579411513
6330,India,IND,1973,84374541630,3.295521135,5.899723828,4.775947788,4.252978931,593058926
6331,India,IND,1974,98198276857,1.18533626,7.586970156,6.087634611,4.882077108,607050255
6332,India,IND,1975,97159222024,9.149912015,8.023101847,6.720958526,5.706388143,621301720
6333,India,IND,1976,1.01347E+11,1.663103637,7.410622454,6.18280402,6.756758939,635771734
6334,India,IND,1977,1.19867E+11,7.254764586,8.026257698,6.334716702,6.4502311,650485030
6335,India,IND,1978,1.35469E+11,5.712532089,8.228764093,6.661574869,6.381166497,665502284
6336,India,IND,1979,1.50951E+11,-5.238182703,8.745175272,8.260165757,6.820547406,680915804
6337,India,IND,1980,1.8384E+11,6.735821528,9.737409285,9.348009496,6.204051028,696783517
6338,India,IND,1981,1.9091E+11,6.006203624,11.01423164,8.666716345,5.998388368,713118032
6339,India,IND,1982,1.98038E+11,3.47573324,11.88333633,8.233331662,6.046158225,729868013
6340,India,IND,1983,2.15351E+11,7.288892901,13.29366035,7.940441554,5.89895744,746949067
6341,India,IND,1984,2.09328E+11,3.820737856,14.39954761,7.812037055,6.349412527,764245202
6342,India,IND,1985,2.2941E+11,5.254299223,15.19964756,7.730647057,5.309757444,781666671
6343,India,IND,1986,2.45665E+11,4.77656417,16.52653434,7.101282608,5.250811279,799181436
6344,India,IND,1987,2.75311E+11,3.965355634,17.98105542,7.057988565,5.663460576,816792741
6345,India,IND,1988,2.92633E+11,9.62778292,19.6683027,7.538276945,6.098623583,834489322
6346,India,IND,1989,2.92093E+11,5.947343328,21.05969351,8.242809993,7.089839196,852270034
6347,India,IND,1990,3.16697E+11,5.533454563,22.94900758,8.547071399,7.127450172,870133480
6348,India,IND,1991,2.66502E+11,1.056831433,26.13209143,8.588097878,8.58347818,888054875
6349,India,IND,1992,2.84364E+11,5.482396021,29.21249455,9.697000611,8.935827506,906021106
6350,India,IND,1993,2.7557E+11,4.75077622,31.06073709,9.926681137,9.937532174,924057817
6351,India,IND,1994,3.2291E+11,6.658924067,34.24382141,10.30357032,9.991965548,942204249
6352,India,IND,1995,3.55476E+11,7.57449184,37.74521317,12.15741469,10.95789083,960482795
6353,India,IND,1996,3.87656E+11,7.549522249,41.13365846,11.67291506,10.49427209,978893217
6354,India,IND,1997,4.1032E+11,4.049820849,44.08057745,12.06154743,10.80303011,997405318
6355,India,IND,1998,4.15731E+11,6.18441582,49.91280767,12.82225929,11.13422522,1015974042
6356,India,IND,1999,4.527E+11,8.845755561,52.24364614,13.5123948,11.57237585,1034539214
6357,India,IND,2000,4.62147E+11,3.840991157,54.33832165,14.05856494,13.13378056,1053050912
6358,India,IND,2001,4.78965E+11,4.823966264,56.3919261,13.58453119,12.69031341,1071477855
6359,India,IND,2002,5.08069E+11,3.803975321,58.8151729,15.4140907,14.41424036,1089807112
6360,India,IND,2003,5.99593E+11,7.860381476,61.05359545,15.81879243,15.10495122,1108027848
6361,India,IND,2004,6.99689E+11,7.922943418,63.35363809,19.86351859,18.04674645,1126135777
6362,India,IND,2005,8.08901E+11,9.284824616,66.04385126,22.66094066,19.82436588,1144118674
6363,India,IND,2006,9.20317E+11,9.263964759,69.87209853,24.92782944,21.66419921,1161977719
6364,India,IND,2007,1.20111E+12,9.801360337,74.32496447,25.15107431,21.00759325,1179681239
6365,India,IND,2008,1.18695E+12,3.890957062,80.53055424,29.49593955,24.26743306,1197146906
6366,India,IND,2009,1.32394E+12,8.479783897,89.29417338,26.16146603,20.61556009,1214270132
6367,India,IND,2010,1.65662E+12,10.25996306,100,27.09844535,22.5904459,1230980691
6368,India,IND,2011,1.82305E+12,6.638362585,108.858361,31.08346869,24.54041132,1247236029
6369,India,IND,2012,1.82764E+12,5.456388753,118.9957366,31.25929107,24.53443066,1263065852
6370,India,IND,2013,1.85672E+12,6.386106401,131.9753671,28.41327065,25.4308613,1278562207
6371,India,IND,2014,2.03913E+12,7.410227605,140.3600189,25.95422274,22.96796301,1293859294
6372,India,IND,2015,2.10239E+12,8.154425028,148.602558,22.12225363,19.82442628,1309053980
6373,India,IND,2016,2.27423E+12,7.112686097,155.9450497,21.03425691,19.31492239,1324171354
6374,India,IND,2017,2.60082E+12,6.681182282,159.8294647,22.02500485,19.04536686,1339180127
