,Month,Series_ID,Title,Employed
50032,1990 Jan,CEU4200000001,Retail Trade,13255.8
50033,1990 Feb,CEU4200000001,Retail Trade,12966.3
50034,1990 Mar,CEU4200000001,Retail Trade,12938.2
50035,1990 Apr,CEU4200000001,Retail Trade,13012.3
50036,1990 May,CEU4200000001,Retail Trade,13108.3
50037,1990 Jun,CEU4200000001,Retail Trade,13182.8
50038,1990 Jul,CEU4200000001,Retail Trade,13170.1
50039,1990 Aug,CEU4200000001,Retail Trade,13159.5
50040,1990 Sep,CEU4200000001,Retail Trade,13113.4
50041,1990 Oct,CEU4200000001,Retail Trade,13185.2
50042,1990 Nov,CEU4200000001,Retail Trade,13461.9
50043,1990 Dec,CEU4200000001,Retail Trade,13673.1
50044,1991 Jan,CEU4200000001,Retail Trade,13068.3
50045,1991 Feb,CEU4200000001,Retail Trade,12744.2
50046,1991 Mar,CEU4200000001,Retail Trade,12684.5
50047,1991 Apr,CEU4200000001,Retail Trade,12687
50048,1991 May,CEU4200000001,Retail Trade,12780.6
50049,1991 Jun,CEU4200000001,Retail Trade,12859
50050,1991 Jul,CEU4200000001,Retail Trade,12849.1
50051,1991 Aug,CEU4200000001,Retail Trade,12871.3
50052,1991 Sep,CEU4200000001,Retail Trade,12823
50053,1991 Oct,CEU4200000001,Retail Trade,12885.6
50054,1991 Nov,CEU4200000001,Retail Trade,13150.8
50055,1991 Dec,CEU4200000001,Retail Trade,13391.1
50056,1992 Jan,CEU4200000001,Retail Trade,12788.6
50057,1992 Feb,CEU4200000001,Retail Trade,12586.1
50058,1992 Mar,CEU4200000001,Retail Trade,12547.8
50059,1992 Apr,CEU4200000001,Retail Trade,12636.3
50060,1992 May,CEU4200000001,Retail Trade,12740.4
50061,1992 Jun,CEU4200000001,Retail Trade,12825.1
50062,1992 Jul,CEU4200000001,Retail Trade,12804.9
50063,1992 Aug,CEU4200000001,Retail Trade,12810.6
50064,1992 Sep,CEU4200000001,Retail Trade,12783.9
50065,1992 Oct,CEU4200000001,Retail Trade,12890.4
50066,1992 Nov,CEU4200000001,Retail Trade,13147.6
50067,1992 Dec,CEU4200000001,Retail Trade,13411.8
50068,1993 Jan,CEU4200000001,Retail Trade,12849.3
50069,1993 Feb,CEU4200000001,Retail Trade,12701.7
50070,1993 Mar,CEU4200000001,Retail Trade,12654.3
50071,1993 Apr,CEU4200000001,Retail Trade,12745.3
50072,1993 May,CEU4200000001,Retail Trade,12864.2
50073,1993 Jun,CEU4200000001,Retail Trade,12975
50074,1993 Jul,CEU4200000001,Retail Trade,13009.2
50075,1993 Aug,CEU4200000001,Retail Trade,13048.2
50076,1993 Sep,CEU4200000001,Retail Trade,13048.6
50077,1993 Oct,CEU4200000001,Retail Trade,13175.2
50078,1993 Nov,CEU4200000001,Retail Trade,13457.5
50079,1993 Dec,CEU4200000001,Retail Trade,13755.5
50080,1994 Jan,CEU4200000001,Retail Trade,13152.8
50081,1994 Feb,CEU4200000001,Retail Trade,13014.9
50082,1994 Mar,CEU4200000001,Retail Trade,13051.4
50083,1994 Apr,CEU4200000001,Retail Trade,13165.3
50084,1994 May,CEU4200000001,Retail Trade,13295
50085,1994 Jun,CEU4200000001,Retail Trade,13428.9
50086,1994 Jul,CEU4200000001,Retail Trade,13485.9
50087,1994 Aug,CEU4200000001,Retail Trade,13549.4
50088,1994 Sep,CEU4200000001,Retail Trade,13581.4
50089,1994 Oct,CEU4200000001,Retail Trade,13726.3
50090,1994 Nov,CEU4200000001,Retail Trade,14096.8
50091,1994 Dec,CEU4200000001,Retail Trade,14380.3
50092,1995 Jan,CEU4200000001,Retail Trade,13775.2
50093,1995 Feb,CEU4200000001,Retail Trade,13579.5
50094,1995 Mar,CEU4200000001,Retail Trade,13539.2
50095,1995 Apr,CEU4200000001,Retail Trade,13654.1
50096,1995 May,CEU4200000001,Retail Trade,13757.5
50097,1995 Jun,CEU4200000001,Retail Trade,13874.5
50098,1995 Jul,CEU4200000001,Retail Trade,13878.2
50099,1995 Aug,CEU4200000001,Retail Trade,13908.2
50100,1995 Sep,CEU4200000001,Retail Trade,13894
50101,1995 Oct,CEU4200000001,Retail Trade,14006.1
50102,1995 Nov,CEU4200000001,Retail Trade,14347
50103,1995 Dec,CEU4200000001,Retail Trade,14588.5
50104,1996 Jan,CEU4200000001,Retail Trade,13927.7
50105,1996 Feb,CEU4200000001,Retail Trade,13730.7
50106,1996 Mar,CEU4200000001,Retail Trade,13748.1
50107,1996 Apr,CEU4200000001,Retail Trade,13811.7
50108,1996 May,CEU4200000001,Retail Trade,13993.7
50109,1996 Jun,CEU4200000001,Retail Trade,14107.5
50110,1996 Jul,CEU4200000001,Retail Trade,14136
50111,1996 Aug,CEU4200000001,Retail Trade,14167.3
50112,1996 Sep,CEU4200000001,Retail Trade,14153.5
50113,1996 Oct,CEU4200000001,Retail Trade,14327.7
50114,1996 Nov,CEU4200000001,Retail Trade,14692
50115,1996 Dec,CEU4200000001,Retail Trade,14956.2
50116,1997 Jan,CEU4200000001,Retail Trade,14227.1
50117,1997 Feb,CEU4200000001,Retail Trade,14023.4
50118,1997 Mar,CEU4200000001,Retail Trade,14039.9
50119,1997 Apr,CEU4200000001,Retail Trade,14118.7
50120,1997 May,CEU4200000001,Retail Trade,14241.9
50121,1997 Jun,CEU4200000001,Retail Trade,14339.3
50122,1997 Jul,CEU4200000001,Retail Trade,14354.7
50123,1997 Aug,CEU4200000001,Retail Trade,14392
50124,1997 Sep,CEU4200000001,Retail Trade,14359.5
50125,1997 Oct,CEU4200000001,Retail Trade,14533
50126,1997 Nov,CEU4200000001,Retail Trade,14904.1
50127,1997 Dec,CEU4200000001,Retail Trade,15176.5
50128,1998 Jan,CEU4200000001,Retail Trade,14455.8
50129,1998 Feb,CEU4200000001,Retail Trade,14243.3
50130,1998 Mar,CEU4200000001,Retail Trade,14226.1
50131,1998 Apr,CEU4200000001,Retail Trade,14322
50132,1998 May,CEU4200000001,Retail Trade,14471.8
50133,1998 Jun,CEU4200000001,Retail Trade,14568.9
50134,1998 Jul,CEU4200000001,Retail Trade,14602.1
50135,1998 Aug,CEU4200000001,Retail Trade,14617
50136,1998 Sep,CEU4200000001,Retail Trade,14601.4
50137,1998 Oct,CEU4200000001,Retail Trade,14745.6
50138,1998 Nov,CEU4200000001,Retail Trade,15114.4
50139,1998 Dec,CEU4200000001,Retail Trade,15388.3
50140,1999 Jan,CEU4200000001,Retail Trade,14705.2
50141,1999 Feb,CEU4200000001,Retail Trade,14567.2
50142,1999 Mar,CEU4200000001,Retail Trade,14574.9
50143,1999 Apr,CEU4200000001,Retail Trade,14695.9
50144,1999 May,CEU4200000001,Retail Trade,14828
50145,1999 Jun,CEU4200000001,Retail Trade,14931
50146,1999 Jul,CEU4200000001,Retail Trade,14976.4
50147,1999 Aug,CEU4200000001,Retail Trade,14991.2
50148,1999 Sep,CEU4200000001,Retail Trade,14963.5
50149,1999 Oct,CEU4200000001,Retail Trade,15135.6
50150,1999 Nov,CEU4200000001,Retail Trade,15504.9
50151,1999 Dec,CEU4200000001,Retail Trade,15812.9
50152,2000 Jan,CEU4200000001,Retail Trade,15122.9
50153,2000 Feb,CEU4200000001,Retail Trade,14918.4
50154,2000 Mar,CEU4200000001,Retail Trade,14944.4
50155,2000 Apr,CEU4200000001,Retail Trade,15090
50156,2000 May,CEU4200000001,Retail Trade,15145.4
50157,2000 Jun,CEU4200000001,Retail Trade,15240.6
50158,2000 Jul,CEU4200000001,Retail Trade,15242
50159,2000 Aug,CEU4200000001,Retail Trade,15272.9
50160,2000 Sep,CEU4200000001,Retail Trade,15239.5
50161,2000 Oct,CEU4200000001,Retail Trade,15382.9
50162,2000 Nov,CEU4200000001,Retail Trade,15776.7
50163,2000 Dec,CEU4200000001,Retail Trade,16027.7
50164,2001 Jan,CEU4200000001,Retail Trade,15288
50165,2001 Feb,CEU4200000001,Retail Trade,15094.4
50166,2001 Mar,CEU4200000001,Retail Trade,15077
50167,2001 Apr,CEU4200000001,Retail Trade,15046.8
50168,2001 May,CEU4200000001,Retail Trade,15157.7
50169,2001 Jun,CEU4200000001,Retail Trade,15248.1
50170,2001 Jul,CEU4200000001,Retail Trade,15164.8
50171,2001 Aug,CEU4200000001,Retail Trade,15189.7
50172,2001 Sep,CEU4200000001,Retail Trade,15128.4
50173,2001 Oct,CEU4200000001,Retail Trade,15224.1
50174,2001 Nov,CEU4200000001,Retail Trade,15576.1
50175,2001 Dec,CEU4200000001,Retail Trade,15713.9
50176,2002 Jan,CEU4200000001,Retail Trade,14985
50177,2002 Feb,CEU4200000001,Retail Trade,14785.9
50178,2002 Mar,CEU4200000001,Retail Trade,14813.9
50179,2002 Apr,CEU4200000001,Retail Trade,14874.5
50180,2002 May,CEU4200000001,Retail Trade,14960.4
50181,2002 Jun,CEU4200000001,Retail Trade,15033.4
50182,2002 Jul,CEU4200000001,Retail Trade,15011.9
50183,2002 Aug,CEU4200000001,Retail Trade,14981.1
50184,2002 Sep,CEU4200000001,Retail Trade,14907.3
50185,2002 Oct,CEU4200000001,Retail Trade,15033.6
