,Month,Series_ID,Title,Employed,Moving avg,Diff
50032,1990 Jan,CEU4200000001,Retail Trade,13255.8,,
50033,1990 Feb,CEU4200000001,Retail Trade,12966.3,,
50034,1990 Mar,CEU4200000001,Retail Trade,12938.2,,
50035,1990 Apr,CEU4200000001,Retail Trade,13012.3,,
50036,1990 May,CEU4200000001,Retail Trade,13108.3,,
50037,1990 Jun,CEU4200000001,Retail Trade,13182.8,,
50038,1990 Jul,CEU4200000001,Retail Trade,13170.1,,
50039,1990 Aug,CEU4200000001,Retail Trade,13159.5,,
50040,1990 Sep,CEU4200000001,Retail Trade,13113.4,,
50041,1990 Oct,CEU4200000001,Retail Trade,13185.2,,
50042,1990 Nov,CEU4200000001,Retail Trade,13461.9,13141.25455,-320.6454545
50043,1990 Dec,CEU4200000001,Retail Trade,13673.1,13179.19091,-493.9090909
50044,1991 Jan,CEU4200000001,Retail Trade,13068.3,13188.46364,120.1636364
50045,1991 Feb,CEU4200000001,Retail Trade,12744.2,13170.82727,426.6272727
50046,1991 Mar,CEU4200000001,Retail Trade,12684.5,13141.02727,456.5272727
50047,1991 Apr,CEU4200000001,Retail Trade,12687,13102.72727,415.7272727
50048,1991 May,CEU4200000001,Retail Trade,12780.6,13066.16364,285.5636364
50049,1991 Jun,CEU4200000001,Retail Trade,12859,13037.88182,178.8818182
50050,1991 Jul,CEU4200000001,Retail Trade,12849.1,13009.66364,160.5636364
50051,1991 Aug,CEU4200000001,Retail Trade,12871.3,12987.65455,116.3545455
50052,1991 Sep,CEU4200000001,Retail Trade,12823,12954.72727,131.7272727
50053,1991 Oct,CEU4200000001,Retail Trade,12885.6,12902.33636,16.73636364
50054,1991 Nov,CEU4200000001,Retail Trade,13150.8,12854.85455,-295.9454545
50055,1991 Dec,CEU4200000001,Retail Trade,13391.1,12884.2,-506.9
50056,1992 Jan,CEU4200000001,Retail Trade,12788.6,12888.23636,99.63636364
50057,1992 Feb,CEU4200000001,Retail Trade,12586.1,12879.29091,293.1909091
50058,1992 Mar,CEU4200000001,Retail Trade,12547.8,12866.63636,318.8363636
50059,1992 Apr,CEU4200000001,Retail Trade,12636.3,12853.51818,217.2181818
50060,1992 May,CEU4200000001,Retail Trade,12740.4,12842.73636,102.3363636
50061,1992 Jun,CEU4200000001,Retail Trade,12825.1,12840.55455,15.45454545
50062,1992 Jul,CEU4200000001,Retail Trade,12804.9,12834.51818,29.61818182
50063,1992 Aug,CEU4200000001,Retail Trade,12810.6,12833.39091,22.79090909
50064,1992 Sep,CEU4200000001,Retail Trade,12783.9,12824.14545,40.24545455
50065,1992 Oct,CEU4200000001,Retail Trade,12890.4,12800.47273,-89.92727273
50066,1992 Nov,CEU4200000001,Retail Trade,13147.6,12778.33636,-369.2636364
50067,1992 Dec,CEU4200000001,Retail Trade,13411.8,12834.99091,-576.8090909
50068,1993 Jan,CEU4200000001,Retail Trade,12849.3,12858.91818,9.618181818
50069,1993 Feb,CEU4200000001,Retail Trade,12701.7,12872.90909,171.2090909
50070,1993 Mar,CEU4200000001,Retail Trade,12654.3,12874.54545,220.2454545
50071,1993 Apr,CEU4200000001,Retail Trade,12745.3,12874.99091,129.6909091
50072,1993 May,CEU4200000001,Retail Trade,12864.2,12878.54545,14.34545455
50073,1993 Jun,CEU4200000001,Retail Trade,12975,12894.00909,-80.99090909
50074,1993 Jul,CEU4200000001,Retail Trade,13009.2,12912.06364,-97.13636364
50075,1993 Aug,CEU4200000001,Retail Trade,13048.2,12936.09091,-112.1090909
50076,1993 Sep,CEU4200000001,Retail Trade,13048.6,12950.47273,-98.12727273
50077,1993 Oct,CEU4200000001,Retail Trade,13175.2,12952.98182,-222.2181818
50078,1993 Nov,CEU4200000001,Retail Trade,13457.5,12957.13636,-500.3636364
50079,1993 Dec,CEU4200000001,Retail Trade,13755.5,13039.51818,-715.9818182
50080,1994 Jan,CEU4200000001,Retail Trade,13152.8,13080.52727,-72.27272727
50081,1994 Feb,CEU4200000001,Retail Trade,13014.9,13113.30909,98.40909091
50082,1994 Mar,CEU4200000001,Retail Trade,13051.4,13141.13636,89.73636364
50083,1994 Apr,CEU4200000001,Retail Trade,13165.3,13168.50909,3.209090909
50084,1994 May,CEU4200000001,Retail Trade,13295,13197.6,-97.4
50085,1994 Jun,CEU4200000001,Retail Trade,13428.9,13235.75455,-193.1454545
50086,1994 Jul,CEU4200000001,Retail Trade,13485.9,13275.54545,-210.3545455
50087,1994 Aug,CEU4200000001,Retail Trade,13549.4,13321.07273,-228.3272727
50088,1994 Sep,CEU4200000001,Retail Trade,13581.4,13358,-223.4
50089,1994 Oct,CEU4200000001,Retail Trade,13726.3,13382.43636,-343.8636364
50090,1994 Nov,CEU4200000001,Retail Trade,14096.8,13413.46364,-683.3363636
50091,1994 Dec,CEU4200000001,Retail Trade,14380.3,13525.05455,-855.2454545
50092,1995 Jan,CEU4200000001,Retail Trade,13775.2,13594.17273,-181.0272727
50093,1995 Feb,CEU4200000001,Retail Trade,13579.5,13642.18182,62.68181818
50094,1995 Mar,CEU4200000001,Retail Trade,13539.2,13676.17273,136.9727273
50095,1995 Apr,CEU4200000001,Retail Trade,13654.1,13708.81818,54.71818182
50096,1995 May,CEU4200000001,Retail Trade,13757.5,13738.69091,-18.80909091
50097,1995 Jun,CEU4200000001,Retail Trade,13874.5,13774.01818,-100.4818182
50098,1995 Jul,CEU4200000001,Retail Trade,13878.2,13803.90909,-74.29090909
50099,1995 Aug,CEU4200000001,Retail Trade,13908.2,13833.61818,-74.58181818
50100,1995 Sep,CEU4200000001,Retail Trade,13894,13848.86364,-45.13636364
50101,1995 Oct,CEU4200000001,Retail Trade,14006.1,13840.61818,-165.4818182
50102,1995 Nov,CEU4200000001,Retail Trade,14347,13837.59091,-509.4090909
50103,1995 Dec,CEU4200000001,Retail Trade,14588.5,13911.52727,-676.9727273
50104,1996 Jan,CEU4200000001,Retail Trade,13927.7,13943.18182,15.48181818
50105,1996 Feb,CEU4200000001,Retail Trade,13730.7,13960.59091,229.8909091
50106,1996 Mar,CEU4200000001,Retail Trade,13748.1,13969.13636,221.0363636
50107,1996 Apr,CEU4200000001,Retail Trade,13811.7,13974.06364,162.3636364
50108,1996 May,CEU4200000001,Retail Trade,13993.7,13984.9,-8.8
50109,1996 Jun,CEU4200000001,Retail Trade,14107.5,14005.74545,-101.7545455
50110,1996 Jul,CEU4200000001,Retail Trade,14136,14026.45455,-109.5454545
50111,1996 Aug,CEU4200000001,Retail Trade,14167.3,14051.3,-116
50112,1996 Sep,CEU4200000001,Retail Trade,14153.5,14064.7,-88.8
50113,1996 Oct,CEU4200000001,Retail Trade,14327.7,14062.94545,-264.7545455
50114,1996 Nov,CEU4200000001,Retail Trade,14692,14072.35455,-619.6454545
50115,1996 Dec,CEU4200000001,Retail Trade,14956.2,14165.85455,-790.3454545
50116,1997 Jan,CEU4200000001,Retail Trade,14227.1,14210.98182,-16.11818182
50117,1997 Feb,CEU4200000001,Retail Trade,14023.4,14236.00909,212.6090909
50118,1997 Mar,CEU4200000001,Retail Trade,14039.9,14256.75455,216.8545455
50119,1997 Apr,CEU4200000001,Retail Trade,14118.7,14268.11818,149.4181818
50120,1997 May,CEU4200000001,Retail Trade,14241.9,14280.33636,38.43636364
50121,1997 Jun,CEU4200000001,Retail Trade,14339.3,14298.81818,-40.48181818
50122,1997 Jul,CEU4200000001,Retail Trade,14354.7,14315.85455,-38.84545455
50123,1997 Aug,CEU4200000001,Retail Trade,14392,14337.53636,-54.46363636
50124,1997 Sep,CEU4200000001,Retail Trade,14359.5,14340.42727,-19.07272727
50125,1997 Oct,CEU4200000001,Retail Trade,14533,14325.97273,-207.0272727
50126,1997 Nov,CEU4200000001,Retail Trade,14904.1,14321.23636,-582.8636364
50127,1997 Dec,CEU4200000001,Retail Trade,15176.5,14407.54545,-768.9545455
50128,1998 Jan,CEU4200000001,Retail Trade,14455.8,14446.85455,-8.945454545
50129,1998 Feb,CEU4200000001,Retail Trade,14243.3,14465.34545,222.0454545
50130,1998 Mar,CEU4200000001,Retail Trade,14226.1,14475.10909,249.0090909
50131,1998 Apr,CEU4200000001,Retail Trade,14322,14482.39091,160.3909091
50132,1998 May,CEU4200000001,Retail Trade,14471.8,14494.43636,22.63636364
50133,1998 Jun,CEU4200000001,Retail Trade,14568.9,14513.90909,-54.99090909
50134,1998 Jul,CEU4200000001,Retail Trade,14602.1,14533.00909,-69.09090909
50135,1998 Aug,CEU4200000001,Retail Trade,14617,14556.41818,-60.58181818
50136,1998 Sep,CEU4200000001,Retail Trade,14601.4,14562.63636,-38.76363636
50137,1998 Oct,CEU4200000001,Retail Trade,14745.6,14548.22727,-197.3727273
50138,1998 Nov,CEU4200000001,Retail Trade,15114.4,14542.58182,-571.8181818
50139,1998 Dec,CEU4200000001,Retail Trade,15388.3,14627.35455,-760.9454545
50140,1999 Jan,CEU4200000001,Retail Trade,14705.2,14669.34545,-35.85454545
50141,1999 Feb,CEU4200000001,Retail Trade,14567.2,14700.35455,133.1545455
